Code Client;Marque;Usage;CSP;Puissance;Valeur;Zone_tarif;Statut Marital;Permis;Garage;Age;Ancienneté;Ancienneté Contrat;Prime;Type Assurance;Fraude
1000758;Peugeot;Privé & Professionnel;Ouvriers (O);6;6;3;Marié;1985;Non;53,00;16,00;8,00;333,25;Tous risques;Non
1000980;Citroën;Privé & trajet travail;Cadres et professions intellectuelles supérieures (CPIS);8;8;1;Marié;1990;Oui;41,00;13,00;13,00;352,77;Tous risques;Non
1001134;Peugeot;Privé & trajet travail;Cadres et professions intellectuelles supérieures (CPIS);8;7;9;Marié;2000;Oui;30,00;8,00;4,00;2208,68;Tous risques;Oui
1001267;Renault;Privé & trajet travail;Employés (E);9;8;8;Marié;1981;Oui;53,00;11,00;5,00;1043,67;Tous risques sérénité;Non
1003548;Renault;Privé & trajet travail;Cadres et professions intellectuelles supérieures (CPIS);6;5;5;Marié;1995;Oui;36,00;5,00;5,00;1072,17;Tous risques sérénité;Non
1003584;Renault;Privé & trajet travail;Cadres et professions intellectuelles supérieures (CPIS);3;2;5;Célibataire;1997;Non;35,00;9,00;11,00;768,65;Tous risques sérénité;Oui
1003585;Saab;Privé & trajet travail;Cadres et professions intellectuelles supérieures (CPIS);7;8;5;Célibataire;1996;Non;34,00;8,00;9,00;656,60;Tous risques;Non
1004401;Chrysler;Privé & trajet travail;Cadres et professions intellectuelles supérieures (CPIS);6;9;4;Inconnu;;Oui;;19,00;8,00;926,13;Tous risques sérénité;Non
1005877;Renault;Privé & Professionnel;Professions intermédiaires (PI);9;12;5;Marié;1982;Oui;50,00;13,00;5,00;1440,03;Tiers;Non
1006037;Mercedes-Benz;Privé;Professions intermédiaires (PI);5;5;4;Célibataire;2006;Oui;25,00;8,00;6,00;956,31;Tous risques;Non
1006384;Renault;Privé & trajet travail;Employés (E);10;10;3;Marié;1983;Oui;50,00;10,00;5,00;1423,72;Tous risques;Non
