ID;Age;Gender;Comments
1;25-34;Female;Little, light. Expensive.
3;25-34;Female;Cost and size. Difficult Software.
8;35-44;Male;Portability, capacity, sound quality, durability. It Doesn't Have A Light.
24;>54;Female;Supports standard for lossless compression which offers much higher fidelity. Window Scratches Easily.
32;35-44;Female;It allows me to control all of my music. It's Old.
34;45-54;Male;The ability to build a playlist is the best feature. There are times I like to mix and match my selections. Transfering The Music Between Devices Can Be Time Consuming.
49;25-34;Male;It has some DJ features like building track list, cross fading, etc. It's very durable also. A friend dropped it once and it still works perfectly. It Was A Bit Expensive, But I Think It Was Worth It.
57;35-44;Female;Drowns out train noise. Light and easy to carry and use, I don't have the patience to download music. A Little Bulky And I Have To Remember To Change My Cds Before I Get Sick Of The Music.
75;25-34;Male;Small size. It has 512Mb of add-on memory, so it is quick to load and play music. It can also encode directly from external devices from the radio or a CD player. It Would Be Nice If The Hard Disk Capacity Were Larger. 5Gb Would Be A Sufficent Capacity, Although I Prefer Not To Sacirifice Device Size.
78;25-34;Female;Sleek design. Cost.
83;25-34;Female;It's small & fits in your pocket. It Doesn't Hold Many Songs.
88;35-44;Female;Easy to use. Has a big screen. Software is easy to use, organizes folders in trees so you can open to investigate or close to save space. 20 GB hard drive. It's Old And It's So Big! Even Though It's 20 Gb, It's Not Big Enough.
91;25-34;Female;As well as being able to listen to music, can watch movies, surf internet, etc. Barely Any Internal Storage. I Have To Purchase Seperate Storage.
92;45-54;Male;Because it is also an organiser, I always carry it with me. Small Capacity, Poor User Interface For Music.
97;35-44;Male;It's very small. It's Unintuitive Menu System.
101;45-54;Female;It's portable. Nothing.
102;25-34;Male;The size and the fact that it has an included FM radio. The Battery Life Time.
105;35-44;Male;Small and easy to use. Could Do With More Storage.
107;35-44;Male;It is portable. The Weight.
109;>54;Female;I can always bring it with me. The sound quality is very good. Nothing.
112;25-34;Male;Not a lot.  I hardly use it. Very Limited Memory. Slow Data Speed. Poor Battery Life.
115;35-44;Male;It was a freebie!. Limited Memory.
131;25-34;Female;Size. Battery Life.
132;45-54;Male;Size. Battery Life.
134;35-44;Female;The compact design. Having To Recharge The Battery.
141;25-34;Male;Portability. Low Battery Life.
151;18-24;Male;. It's A Little Heavy. Also Seems A Bit Delicate.
166;25-34;Male;Good sound quality. Price.
167;35-44;Male;Amount of tunes it holds. Too Expensive.
176;35-44;Male;Size. Weight. Simplicity. Connects directly to the laptop to download songs. There Is No Menu, So You Cannot See What Is Playing. You Can't Select A Particular Track, Only Move Forwards Or Backwards Through The Listing. I Have No Control Over The Listing Other Than The Order They Are Copied To The Memory.
180;35-44;Male;40gb. Difficultly Loading Songs.
189;35-44;Male;It gives me time to collect my thoughts and escape some of the stress from the day.  While riding the train, it allows me to sit back and relax and transition to home life. It Doesn't Have A Lot Of Memory And Holds Only A Small Selection Of Songs.
202;35-44;Female;It's analog. It's A Bit Clunky.
211;25-34;Male;The sound. It's Bulky.
219;35-44;Female;It fits comfortably in the palm of my hand. The Directions That Came With It.
225;25-34;Male;That it is portable. Storage Limits.
229;25-34;Male;Well-made, good sound. It Falls Off Of The Belt Clip Sometimes.
249;18-24;Female;Small, multi purpose, easy to use. Battery Life Poor, Small Amount Of Memory, Can't Download From Internet Directly.
252;35-44;Male;We can use it everywhere. Quality Of Headphone.
255;45-54;Male;It's multi-purpose. Also it's easy to change music. When plugged into the adapter, the memory card looks like another hard drive. It Uses Up The Internal Batter Pretty Quickly. Not Really A Problem For Me Because I Don't Listen Long At One Sitting.
263;35-44;Male;It's nice and small and fits into my handbag. I Have To Have A Handbag To Carry It Around.
268;45-54;Male;I like that I don't have to fiddle with software to download music. I can just drag my songs onto the memory card and plug it in. The App For Playing Slongs That Comes With The Hardware Is Only So-So. But There Are Other Players Available That Are Really Good.
274;>54;Male;Well being a long haul truck driver i really like the fact that there is always music to listen to and that i can turn up the volume real loud when my favorite song comes on. It Is Too Expensive.
277;45-54;Male;Size. Battery Life.
283;35-44;Male;Discrete size. Lack Of Storage.
289;25-34;Female;It's pink. The Display Smudges Easily.
292;>54;Male;Its color. Its Size.
301;35-44;Male;Not as pricey as Product A. Not As Cool And Not As Easy To Use As Product A.
309;25-34;Female;You can listen to anything!. Nothing.
313;45-54;Male;Its very light!. Pricey.
314;35-44;Male;Large drive is key. Sound Quality.
317;25-34;Female;Size. Sound Quality.
321;25-34;Male;It's small and light, long battery life, good sound quality. Slow Upload Times.
326;35-44;Male;Its smaller and lighter than a personal cassette player. It Uses Old Technology.
327;35-44;Female;Style. High Cost.
328;18-24;Female;Portability. Pricey.
330;35-44;Male;It's part of my organizer so I don't have to carry too much hardware around. Capacity.
331;45-54;Male;Uses removable memory cards. White Color.
335;25-34;Male;The size is best. Cost.
354;45-54;Male;Stylish appearance. Price And Size.
365;45-54;Male;Color options. Costly.
378;<18;Male;Small, affordable. Old Technology.
379;25-34;Male;It is compact. It Is Only 256Mb.
382;25-34;Female;Ease of use. Cost.
394;25-34;Male;Size and cost. It Could Be Better Designed.
395;35-44;Male;Built in radio. Sound Quality.
399;35-44;Male;Very cheap with built-in radio and good battery life. Nothing, I Love It!.
404;35-44;Female;Decent price. Too Big.
4;35-44;Female;Having all my CDs in the palm of my hand!. Nothing, I Love It!.
5;35-44;Male;The shuffle mode. Battery Life Seems Shorter Than Advertised.
6;25-34;Male;"Battery life. Portability. Accessories. Style. Ubiquitousness; Everyone Has One."
7;35-44;Male;I like its ability to store all of my music. I also like the ability to create playlists. I Wish The 40Gb Model Was Still Available. I Have A 20Gb Model And Need More Memory.
9;25-34;Female;Small, great sound, capacity. Nothing. I Love It.
10;35-44;Male;Able to hold all of my songs in one place. It Is In The Shop Due To A Hardware Failure.
11;45-54;Male;It's portable! I can take it anywhere. Smudges On The Display.
12;35-44;Male;Living in my own little world. Battery Life.
13;35-44;Female;Mobility. Technical Difficulties Setting It Up Initially And Managing The Library Of Songs On My Pc.
14;25-34;Female;I like that Product A has a lot of storage. Also, the interface is very easy to use. It Is A Little Heavy, And The Battery Life Isn't Long Enough.
15;25-34;Male;It holds a ton of music. Battery Life.
16;45-54;Female;It's fun to use. Nothing.
17;35-44;Male;Its cool. Battery.
18;25-34;Female;Lots of disk space. It Was Very Expensive.
20;45-54;Female;Lightweight. So Small Afraid I'll Lose It Easily.
22;45-54;Male;Great accessories. High Price.
23;25-34;Female;I can listen to my music wherever i want. i also like that it is durable/dropable. I Can't Change The Color Of The Outside. I Wanted Red.
26;18-24;Female;Its great. i can share music with my friends and download tons of tunes off the internet. It Is Old Now And Big Compared To The Ones My Friends Have. I Want A Newer Thinner One But I Can't Afford It.
27;25-34;Male;I can listen to the old Ludwig Van without anyone interfering with my activities. It Is Often Mistaken For A Cell Phone.
28;18-24;Male;It offers lots of disk space for all of my CDs. It Is Expensive.
29;25-34;Male;Always having a good collection of music at hand. Battery Life Is Limited.
