ID;Heures_depuis_dernière_maintenance;Maintenance_complète_année_précédente;Warning_depuis_dernière_maintenance;Heures_usage;Site_fabrication;Type_fréquence;Sensitivité;Type;Usage_critique;Type_avion;Incident
100121;55;No;No;2407;1;A1;Low;Wet;No;Unknown;No
100122;18;No;No;1932;2;D;Normal;Normal;No;Cargo;No
100123;66;No;No;2114;1;A1;Low;Normal;No;Fighter type C;No
100124;47;Yes;No;4104;1;D;Normal;Dry;No;Cargo;No
100125;54;No;No;3162;1;C;Normal;Dry;Yes;Helicopter;No
100126;78;No;No;1783;2;A1;Normal;Dry;No;Tanker;No
100127;39;No;No;2006;2;C;Low;Wet;Yes;Fighter type C;No
100128;43;No;No;3568;1;C;Low;Wet;No;Unknown;No
100129;51;No;Yes;2450;1;A2;Normal;Normal;No;Fighter type B;No
100130;42;No;Yes;2405;1;A2;Normal;Dry;No;Tanker;No
100131;52;No;Yes;2785;1;D;Low;Dry;No;Other;No
100132;46;Yes;No;2891;1;D;Normal;;Yes;Tanker;No
100133;38;No;No;2100;2;B;Low;Normal;No;Passengers LD;No
100134;63;No;No;2164;2;A2;;Wet;No;Passengers LD;No
100135;60;No;No;1989;1;C;Low;Wet;No;Fighter type C;No
100136;36;No;No;2295;2;A2;Normal;Normal;No;Fighter type C;No
100137;46;Yes;No;1880;2;C;Normal;Wet;Yes;Fighter type C;No
100138;43;No;Yes;2127;2;A2;Low;Wet;No;Fighter type B;No
100139;40;No;Yes;3015;;A2;Low;Dry;No;Turboprop;No
100140;;Yes;;3166;1;B;Normal;Wet;No;Fighter type B;No
100141;;No;No;2000;2;A2;Normal;Dry;No;Fighter type C;No
100142;33;Yes;No;2384;2;A1;Low;Dry;No;Passengers SD;No
100143;81;Yes;No;3239;;A1;Low;Normal;No;Fighter type C;No
100144;32;Yes;No;1923;2;D;Normal;Normal;No;Passengers LD;No
100145;51;Yes;No;5200;2;C;Low;Wet;No;Unknown;No
100146;66;Yes;No;1452;2;D;Low;Wet;Yes;Fighter type B;No
100147;54;No;No;2554;1;A2;Normal;Normal;No;Fighter type A;No
100148;;Yes;No;2258;1;D;Low;Wet;No;Cargo;No
100149;66;Yes;No;2136;2;C;Low;Wet;No;Fighter type C;No
100150;34;No;Yes;2055;1;A2;Normal;;No;Fighter type B;No
100151;30;No;No;2660;1;A1;Normal;Normal;No;Tanker;No
100152;57;No;No;3765;2;A1;Low;Wet;Yes;Fighter type B;No
100153;38;No;No;1997;1;C;Low;Normal;No;Other;No
100154;47;Yes;No;2042;2;C;Normal;Dry;Yes;Helicopter;No
100155;55;No;Yes;4058;2;A2;Low;Dry;Yes;Fighter type C;No
100156;54;No;No;971;1;D;Normal;Dry;No;Passengers SD;No
