Country Name,Country Code,POP 2012,POP 2013,POP2014,POP2015,POP2016
"Aruba","ABW",102577.000000,103187.000000,103795.000000,104341.000000,104822.000000
"Afghanistan","AFG",30696958.000000,31731688.000000,32758020.000000,33736494.000000,34656032.000000
"Angola","AGO",25096150.000000,25998340.000000,26920466.000000,27859305.000000,28813463.000000
"Albania","ALB",2900401.000000,2895092.000000,2889104.000000,2880703.000000,2876101.000000
"Andorra","AND",82431.000000,80788.000000,79223.000000,78014.000000,77281.000000
"Arab World","ARB",373306993.000000,381702086.000000,390043028.000000,398304960.000000,406452690.000000
"United Arab Emirates","ARE",8900453.000000,9006263.000000,9070867.000000,9154302.000000,9269612.000000
"Argentina","ARG",42096739.000000,42539925.000000,42981515.000000,43417765.000000,43847430.000000
"Armenia","ARM",2881922.000000,2893509.000000,2906220.000000,2916950.000000,2924816.000000
"American Samoa","ASM",55230.000000,55307.000000,55437.000000,55537.000000,55599.000000
"Antigua and Barbuda","ATG",96777.000000,97824.000000,98875.000000,99923.000000,100963.000000
"Australia","AUS",22728254.000000,23117353.000000,23460694.000000,23789338.000000,24127159.000000
"Austria","AUT",8429991.000000,8479375.000000,8541575.000000,8633169.000000,8747358.000000
"Azerbaijan","AZE",9295784.000000,9416801.000000,9535079.000000,9649341.000000,9762274.000000
"Burundi","BDI",9319710.000000,9600186.000000,9891790.000000,10199270.000000,10524117.000000
"Belgium","BEL",11128246.000000,11182817.000000,11209057.000000,11274196.000000,11348159.000000
"Benin","BEN",9729160.000000,10004451.000000,10286712.000000,10575952.000000,10872298.000000
"Burkina Faso","BFA",16571216.000000,17072723.000000,17585977.000000,18110624.000000,18646433.000000
"Bangladesh","BGD",155727053.000000,157571292.000000,159405279.000000,161200886.000000,162951560.000000
"Bulgaria","BGR",7305888.000000,7265115.000000,7223938.000000,7177991.000000,7127822.000000
"Bahrain","BHR",1300217.000000,1315411.000000,1336397.000000,1371855.000000,1425171.000000
"Bahamas, The","BHS",372039.000000,377240.000000,382169.000000,386838.000000,391232.000000
"Bosnia and Herzegovina","BIH",3648200.000000,3604999.000000,3566002.000000,3535961.000000,3516816.000000
"Belarus","BLR",9464495.000000,9465997.000000,9474511.000000,9489616.000000,9507120.000000
"Belize","BLZ",336701.000000,344181.000000,351694.000000,359288.000000,366954.000000
"Bermuda","BMU",64798.000000,65001.000000,65139.000000,65235.000000,65331.000000
"Bolivia","BOL",10239004.000000,10400264.000000,10562159.000000,10724705.000000,10887882.000000
"Brazil","BRA",200560983.000000,202408632.000000,204213133.000000,205962108.000000,207652865.000000
"Barbados","BRB",281585.000000,282509.000000,283385.000000,284217.000000,284996.000000
"Brunei Darussalam","BRN",399748.000000,405716.000000,411704.000000,417542.000000,423196.000000
"Bhutan","BTN",752967.000000,764961.000000,776448.000000,787386.000000,797765.000000
"Botswana","BWA",2089315.000000,2128507.000000,2168573.000000,2209197.000000,2250260.000000
"Central African Republic","CAF",4490416.000000,4499653.000000,4515392.000000,4546100.000000,4594621.000000
"Canada","CAN",34750545.000000,35155451.000000,35544564.000000,35848610.000000,36286425.000000
"Central Europe and the Baltics","CEB",103935318.000000,103713726.000000,103496179.000000,103257751.000000,102974082.000000
"Switzerland","CHE",7996861.000000,8089346.000000,8188649.000000,8282396.000000,8372098.000000
"Channel Islands","CHI",161358.000000,162180.000000,162969.000000,163758.000000,164541.000000
"Chile","CHL",17309746.000000,17462982.000000,17613798.000000,17762681.000000,17909754.000000
"China","CHN",1350695000.000000,1357380000.000000,1364270000.000000,1371220000.000000,1378665000.000000
"Cote d'Ivoire","CIV",21418603.000000,21966312.000000,22531350.000000,23108472.000000,23695919.000000
"Cameroon","CMR",21082383.000000,21655715.000000,22239904.000000,22834522.000000,23439189.000000
"Congo, Dem. Rep.","COD",68978682.000000,71316033.000000,73722860.000000,76196619.000000,78736153.000000
"Congo, Rep.","COG",4633363.000000,4751393.000000,4871101.000000,4995648.000000,5125821.000000
"Colombia","COL",46881475.000000,47342981.000000,47791911.000000,48228697.000000,48653419.000000
"Comoros","COM",723868.000000,741500.000000,759385.000000,777424.000000,795601.000000
"Cabo Verde","CPV",513979.000000,520106.000000,526437.000000,532913.000000,539560.000000
"Costa Rica","CRI",4654122.000000,4706401.000000,4757575.000000,4807852.000000,4857274.000000
"Caribbean small states","CSS",7074129.000000,7118888.000000,7162679.000000,7204948.000000,7245472.000000
"Cuba","CUB",11382146.000000,11412167.000000,11439767.000000,11461432.000000,11475982.000000
"Curacao","CUW",152088.000000,153822.000000,155909.000000,157979.000000,159999.000000
"Cayman Islands","CYM",57523.000000,58371.000000,59172.000000,59963.000000,60765.000000
"Cyprus","CYP",1135062.000000,1143896.000000,1152309.000000,1160985.000000,1170125.000000
"Czech Republic","CZE",10510785.000000,10514272.000000,10525347.000000,10546059.000000,10561633.000000
"Germany","DEU",80425823.000000,80645605.000000,80982500.000000,81686611.000000,82667685.000000
"Djibouti","DJI",881185.000000,896688.000000,912164.000000,927414.000000,942333.000000
"Dominica","DMA",72044.000000,72400.000000,72778.000000,73162.000000,73543.000000
"Denmark","DNK",5591572.000000,5614932.000000,5643475.000000,5683483.000000,5731118.000000
"Dominican Republic","DOM",10154950.000000,10281296.000000,10405844.000000,10528394.000000,10648791.000000
"Algeria","DZA",37565847.000000,38338562.000000,39113313.000000,39871528.000000,40606052.000000
"East Asia & Pacific (excluding high income)","EAP",1993008684.000000,2007434775.000000,2022021082.000000,2036552598.000000,2051431154.000000
"Early-demographic dividend","EAR",2996573424.077233,3040240927.610082,3083836359.739162,3127290268.682029,3170542188.000000
"East Asia & Pacific","EAS",2235430359.000000,2250552199.000000,2265898057.000000,2281203360.000000,2296786207.000000
"Europe & Central Asia (excluding high income)","ECA",407706585.000000,410126644.000000,412510951.000000,414975737.000000,417424643.000000
"Europe & Central Asia","ECS",894666669.000000,898855113.000000,903094668.000000,907424836.000000,911995305.000000
"Ecuador","ECU",15419666.000000,15661547.000000,15903112.000000,16144368.000000,16385068.000000
"Egypt, Arab Rep.","EGY",87813257.000000,89807433.000000,91812566.000000,93778172.000000,95688681.000000
"Euro area","EMU",336167296.000000,337296873.000000,338429646.000000,339519210.000000,340894606.000000
"Eritrea","ERI",,,,,
"Spain","ESP",46773055.000000,46620045.000000,46480882.000000,46447697.000000,46443959.000000
"Estonia","EST",1322696.000000,1317997.000000,1314545.000000,1315407.000000,1316481.000000
"Ethiopia","ETH",92444183.000000,94887724.000000,97366774.000000,99873033.000000,102403196.000000
"European Union","EUU",505104334.000000,506592457.000000,508157247.000000,509703315.000000,511497415.000000
"Fragile and conflict affected situations","FCS",460228236.000000,471253115.000000,482474449.000000,493919601.000000,505635987.000000
"Finland","FIN",5413971.000000,5438972.000000,5461512.000000,5479531.000000,5495096.000000
"Fiji","FJI",873596.000000,879715.000000,885806.000000,892149.000000,898760.000000
"France","FRA",65659790.000000,65998570.000000,66331957.000000,66624068.000000,66896109.000000
"Faroe Islands","FRO",48666.000000,48747.000000,48842.000000,48965.000000,49117.000000
"Micronesia, Fed. Sts.","FSM",103503.000000,103702.000000,104015.000000,104433.000000,104937.000000
"Gabon","GAB",1756817.000000,1817271.000000,1875713.000000,1930175.000000,1979786.000000
"United Kingdom","GBR",63700300.000000,64128226.000000,64613160.000000,65128861.000000,65637239.000000
"Georgia","GEO",3825000.000000,3776000.000000,3727000.000000,3717100.000000,3719300.000000
"Ghana","GHA",25733049.000000,26346251.000000,26962563.000000,27582821.000000,28206728.000000
"Gibraltar","GIB",33623.000000,33831.000000,34038.000000,34228.000000,34408.000000
"Guinea","GIN",11281469.000000,11536615.000000,11805509.000000,12091533.000000,12395924.000000
"Gambia, The","GMB",1802125.000000,1859324.000000,1917852.000000,1977590.000000,2038501.000000
"Guinea-Bissau","GNB",1638139.000000,1681495.000000,1725744.000000,1770526.000000,1815698.000000
"Equatorial Guinea","GNQ",1038593.000000,1083746.000000,1129424.000000,1175389.000000,1221490.000000
"Greece","GRC",11045011.000000,10965211.000000,10892413.000000,10820883.000000,10746740.000000
"Grenada","GRD",105481.000000,105909.000000,106360.000000,106823.000000,107317.000000
"Greenland","GRL",56810.000000,56483.000000,56295.000000,56114.000000,56186.000000
"Guatemala","GTM",15271056.000000,15596214.000000,15923559.000000,16252429.000000,16582469.000000
"Guam","GUM",159973.000000,160375.000000,160967.000000,161797.000000,162896.000000
"Guyana","GUY",753091.000000,758081.000000,763393.000000,768514.000000,773303.000000
"High income","HIC",1161900127.000000,1168843771.000000,1175966521.000000,1182929820.000000,1190029421.000000
"Hong Kong SAR, China","HKG",7154600.000000,7187500.000000,7241700.000000,7305700.000000,7346700.000000
"Honduras","HND",8505646.000000,8657785.000000,8809216.000000,8960829.000000,9112867.000000
"Heavily indebted poor countries (HIPC)","HPC",666488623.000000,685401960.000000,704745420.000000,724482652.000000,744602976.000000
"Croatia","HRV",4267558.000000,4255689.000000,4238389.000000,4203604.000000,4170600.000000
"Haiti","HTI",10289210.000000,10431776.000000,10572466.000000,10711061.000000,10847334.000000
"Hungary","HUN",9920362.000000,9893082.000000,9866468.000000,9843028.000000,9817958.000000
"IBRD only","IBD",4517416870.077233,4562691124.610083,4607807730.739162,4652578286.682030,4697247117.000000
"IDA & IBRD total","IBT",5955531931.077233,6033914680.610083,6112778044.739162,6191917217.682030,6271593092.000000
"IDA total","IDA",1438115061.000000,1471223556.000000,1504970314.000000,1539338931.000000,1574345975.000000
"IDA blend","IDB",474993526.000000,486261860.000000,497751634.000000,509396383.000000,521159393.000000
"Indonesia","IDN",248883232.000000,252032263.000000,255131116.000000,258162113.000000,261115456.000000
"IDA only","IDX",963121535.000000,984961696.000000,1007218680.000000,1029942548.000000,1053186582.000000
"Isle of Man","IMN",81406.000000,82013.000000,82590.000000,83167.000000,83737.000000
"India","IND",1263065852.000000,1278562207.000000,1293859294.000000,1309053980.000000,1324171354.000000
"Not classified","INX",,,,,
"Ireland","IRL",4586897.000000,4598294.000000,4617225.000000,4676835.000000,4773095.000000
"Iran, Islamic Rep.","IRN",76453574.000000,77435384.000000,78411092.000000,79360487.000000,80277428.000000
"Iraq","IRQ",32776571.000000,33883145.000000,35006080.000000,36115649.000000,37202572.000000
"Iceland","ISL",320716.000000,323764.000000,327386.000000,330815.000000,334252.000000
"Israel","ISR",7910500.000000,8059500.000000,8215700.000000,8380100.000000,8547100.000000
"Italy","ITA",59539717.000000,60233948.000000,60789140.000000,60730582.000000,60600590.000000
"Jamaica","JAM",2840992.000000,2851807.000000,2862087.000000,2871934.000000,2881355.000000
"Jordan","JOR",7992573.000000,8413464.000000,8809306.000000,9159302.000000,9455802.000000
"Japan","JPN",127629000.000000,127445000.000000,127276000.000000,127141000.000000,126994511.000000
"Kazakhstan","KAZ",16791425.000000,17035275.000000,17289224.000000,17544126.000000,17797032.000000
"Kenya","KEN",43646629.000000,44826849.000000,46024250.000000,47236259.000000,48461567.000000
"Kyrgyz Republic","KGZ",5607200.000000,5719600.000000,5835500.000000,5956900.000000,6082700.000000
"Cambodia","KHM",14776866.000000,15022692.000000,15270790.000000,15517635.000000,15762370.000000
"Kiribati","KIR",106613.000000,108535.000000,110458.000000,112407.000000,114395.000000
"St. Kitts and Nevis","KNA",52591.000000,53169.000000,53739.000000,54288.000000,54821.000000
"Korea, Rep.","KOR",50199853.000000,50428893.000000,50746659.000000,51014947.000000,51245707.000000
"Kuwait","KWT",3395556.000000,3598385.000000,3782450.000000,3935794.000000,4052584.000000
"Latin America & Caribbean (excluding high income)","LAC",583515410.000000,590319145.000000,597035363.000000,603644865.000000,610136397.000000
"Lao PDR","LAO",6415169.000000,6494557.000000,6576397.000000,6663967.000000,6758353.000000
"Lebanon","LBN",4916404.000000,5276102.000000,5603279.000000,5851479.000000,6006668.000000
"Liberia","LBR",4181563.000000,4286291.000000,4390737.000000,4499621.000000,4613823.000000
"Libya","LBY",6198258.000000,6195970.000000,6204108.000000,6234955.000000,6293253.000000
"St. Lucia","LCA",174835.000000,175660.000000,176421.000000,177206.000000,178015.000000
"Latin America & Caribbean","LCN",610545003.000000,617492351.000000,624331830.000000,631058524.000000,637664490.000000
"Least developed countries: UN classification","LDC",890423474.000000,912093996.000000,934192321.000000,956631108.000000,979387925.000000
"Low income","LIC",591576162.000000,607987351.000000,624759914.000000,641858608.000000,659272676.000000
"Liechtenstein","LIE",36545.000000,36834.000000,37127.000000,37403.000000,37666.000000
"Sri Lanka","LKA",20425000.000000,20585000.000000,20771000.000000,20966000.000000,21203000.000000
"Lower middle income","LMC",2841934571.000000,2884574006.000000,2927194316.000000,2970020158.000000,3012923806.000000
"Low & middle income","LMY",5935500538.077233,6014016343.610083,6093019654.739162,6172290591.682030,6252106157.000000
"Lesotho","LSO",2089928.000000,2117361.000000,2145785.000000,2174645.000000,2203821.000000
"Late-demographic dividend","LTE",2208049607.000000,2221689409.000000,2235382535.000000,2248927194.000000,2262709895.000000
"Lithuania","LTU",2987773.000000,2957689.000000,2932367.000000,2904910.000000,2872298.000000
"Luxembourg","LUX",530946.000000,543360.000000,556319.000000,569604.000000,582972.000000
"Latvia","LVA",2034319.000000,2012647.000000,1993782.000000,1977527.000000,1960424.000000
