ID;Age;Sexe; Salaire ;Sexe;Statut;Division;Département;Poste;Ancienneté;Mobilité;HeuresSup;Attrition;Déplacement;Distance lieu de travail;Notation 2017;Grade;Satisfaction;Heures supplémentaires;Nombre employeurs précédents;Ancienneté;Ancienneté compagnie;Ancienneté dans le poste;Dernière augmentation;Manager;Satisfaction lieu de travail;Formation;Equilbre;Notation 2018;Satisfaction équipe
1;29;M; 13 171,00 € ;Femme;Marié;Logiciels;R&D;Responsable Qualité;8;Rarement;Non;En poste;Travel_Rarely;1;High;2;Very High;Yes;8;8;6;4;0;5;Medium;0;Bad;Excellent;Low
2;46;F; 7 993,00 € ;Homme;Divorcé;Marketing;Ventes;Ingénieur d'affaires;3;Rarement;Non;Démission;Travel_Frequently;8;Medium;2;Medium;No;1;10;10;7;1;7;High;3;Better;Outstanding;Very High
3;40;F; 17 500,00 € ;Homme;Célibataire;Logiciels;Ventes;Ingénieur d'affaires;7;Rarement;Oui;Démission;Travel_Rarely;2;Medium;1;High;Yes;6;7;0;0;0;0;Very High;3;Better;Excellent;Medium
4;29;F; 11 839,50 € ;Homme;Marié;Electronique;R&D;Responsable Qualité;3;Rarement;Oui;En poste;Travel_Frequently;3;High;1;High;Yes;1;8;8;7;3;0;Very High;3;Better;Excellent;High
5;36;F; 10 723,50 € ;Femme;Célibataire;Ordinateurs;Ventes;Ingénieur d'affaires;0;Rarement;Non;En poste;Travel_Rarely;2;High;1;Medium;No;9;6;2;2;2;2;Low;3;Better;Excellent;Very High
6;45;F; 6 517,50 € ;Femme;Célibataire;Logiciels;R&D;Manager;0;Ponctuellement;Non;En poste;Travel_Frequently;2;High;1;Very High;No;0;8;7;7;3;6;Very High;2;Good;Excellent;High
7;35;F; 4 548,00 € ;Femme;Célibataire;Marketing;Ventes;Ingénieur d'affaires;8;Ponctuellement;Non;En poste;Travel_Rarely;3;Very High;1;Low;Yes;4;12;1;0;0;0;High;3;Good;Outstanding;Low
8;28;F; 5 247,00 € ;Homme;Divorcé;Ordinateurs;Ressources Humaines;Chargé Ressources Humaines;2;Jamais;Non;En poste;Travel_Rarely;24;High;1;High;No;1;1;1;0;0;0;Very High;2;Better;Outstanding;Medium
9;42;F; 7 432,00 € ;Femme;Marié;Marketing;Ventes;Ingénieur d'affaires;8;Ponctuellement;Non;En poste;Travel_Frequently;23;Medium;3;High;No;0;10;9;7;1;8;Very High;2;Better;Outstanding;Medium
10;30;F; 6 874,50 € ;Homme;Divorcé;Ordinateurs;Ventes;Architecte;0;Rarement;Non;Démission;Travel_Rarely;27;High;2;High;No;6;17;7;7;7;7;High;3;Good;Excellent;Medium
11;60;F; 10 233,50 € ;Homme;Divorcé;Logiciels;R&D;Responsable d'équipe;0;Rarement;Non;En poste;Travel_Rarely;16;Very High;1;Medium;No;0;6;5;4;0;3;Low;5;Better;Excellent;High
