ID;Programme de Fid;Age;Classe d'age;Sexe;Annee du premier vol;Nombre de vols par an;Classe du nombre de vols par an;Motif du voyage; Depenses aeroport de depart ; Depenses restauration aeroport ;Classe;Compagnie;Nationalite compagnie;Ville de depart;Pays de depart;Ville de destination;Pays de destination;Heure;Heure de depart;Date du vol;Retard au depart en minutes;Annulation du vol;SATISFACTION;Duree du vol;Distance parcourue en miles;Retard a l'arrivee de + de 30 min;Aeronef;Marque Aeronef
100001;Blue;16,00;0-19;F;2003;26,00;21 a 30;Loisir; 287,00 € ; 60,00 € ;Eco;Cloud Airlines;France;Montreal;Canada;Lisbon;Portugal;18:49:25;18;13/01/2016;0,00;Non;4;12,00;11000,00;Non;A330;Airbus
100002;Blue;17,00;0-19;M;2004;19,00;11 a 20;Billet Miles; -   € ; 20,00 € ;Eco;Sky Airlines;USA;Pekin;China;New York;USA;08:41:14;8;16/12/2015;53,00;Non;5;12,00;30000,00;Non;A380;Airbus
100003;Blue;18,00;0-19;M;2006;31,00;31 a 40;Loisir; -   € ; 40,00 € ;Business;Sky Airlines;USA;Pekin;China;London;United Kingdom;09:32:11;9;05/02/2016;0,00;Non;4;12,00;21000,00;Non;A380;Airbus
100004;Blue;19,00;0-19;M;2009;33,00;31 a 40;Affaire; 2,00 € ; 30,00 € ;Eco;Cloud Airlines;France;Nice;France;Beijing;China;11:53:38;11;26/02/2016;0,00;Non;4;15,00;12000,00;Non;A330;Airbus
100005;Blue;22,00;20-29;M;2010;35,00;31 a 40;Affaire; 30,00 € ; 45,00 € ;Eco;Sky Airlines;USA;Nice;France;London;United Kingdom;01:25:24;1;31/12/2015;85,00;Non;5;2,00;1000,00;Non;A380;Airbus
100006;Silver;24,00;20-29;F;2005;7,00;1 a 10;Affaire; 60,00 € ; 60,00 € ;Eco;Sky Airlines;USA;Roma;Italy;Paris;France;00:11:55;0;03/03/2016;0,00;Non;4;12,00;258,00;Non;A330;Airbus
100007;Blue;24,00;20-29;M;2009;6,00;1 a 10;Billet Miles; 21,00 € ; 100,00 € ;Eco;Blue Airlines;China;Tokyo;Japan;Paris;France;14:07:44;14;14/01/2016;0,00;Non;4;12,00;862,00;Non;A330;Airbus
100008;Silver;25,00;20-29;M;2008;24,00;21 a 30;Loisir; 60,00 € ; 105,00 € ;Eco;Blue Airlines;China;Los Angeles;USA;Tokyo;Japan;08:46:33;8;18/03/2016;15,00;Non;4;17,00;1379,00;Non;A330;Airbus
100009;Blue;26,00;20-29;M;2003;18,00;11 a 20;Affaire; -   € ; 40,00 € ;Eco;Blue Airlines;China;Tokyo;Japan;Paris;France;09:45:33;9;12/12/2015;0,00;Non;4;17,00;1744,00;Non;A330;Airbus
100010;Blue;28,00;20-29;F;2012;21,00;11 a 20;Loisir; -   € ; 110,00 € ;Eco;Blue Airlines;China;Tokyo;Japan;Paris;France;07:08:58;7;19/12/2015;0,00;Non;4;17,00;2486,00;Non;A330;Airbus
