Numero_Commande,Code_Client,Numero_Ligne_Produit,Code_Magasin,Code_Produit,Quantite,Prix_Vente_TTC_HorsRemise,Prix_Vente_TTC_AvecRemise,Heure,Code_Vendeur,Total,Date_Transaction
27909,2248439,2.000000,172,115422,1.000000,17.200000,17.200000,1639.000000,29,17.200000,2013-02-16 00:00:00
27869,2273451,1.000000,172,92727,1.000000,32.000000,28.800000,1435.000000,2,28.800000,2013-02-16 00:00:00
27840,2273558,2.000000,172,19158,1.000000,40.540000,40.540000,1115.000000,23,40.540000,2013-02-16 00:00:00
27840,2273558,1.000000,172,129951,1.000000,93.200000,93.200000,1115.000000,23,93.200000,2013-02-16 00:00:00
27849,2273558,1.000000,172,72876,1.000000,109.870000,109.870000,1301.000000,10,109.870000,2013-02-16 00:00:00
27875,2273703,1.000000,172,1880,1.000000,8.540000,8.540000,1518.000000,29,8.540000,2013-02-16 00:00:00
27875,2273703,3.000000,172,131056,1.000000,6.670000,1.340000,1518.000000,29,1.340000,2013-02-16 00:00:00
27875,2273703,2.000000,172,131071,1.000000,6.670000,6.670000,1518.000000,29,6.670000,2013-02-16 00:00:00
27843,2273822,1.000000,172,26987,1.000000,40.800000,36.720000,1159.000000,10,36.720000,2013-02-16 00:00:00
27847,2273867,1.000000,172,54006,1.000000,89.740000,89.740000,1056.000000,23,89.740000,2013-02-16 00:00:00
27913,2273933,5.000000,172,28363,1.000000,44.270000,39.840000,1535.000000,29,39.840000,2013-02-16 00:00:00
27913,2273933,2.000000,172,43457,1.000000,8.460000,7.620000,1535.000000,29,7.620000,2013-02-16 00:00:00
27913,2273933,3.000000,172,43457,1.000000,8.460000,7.620000,1535.000000,29,7.620000,2013-02-16 00:00:00
27913,2273933,4.000000,172,54198,1.000000,9.200000,8.280000,1535.000000,29,8.280000,2013-02-16 00:00:00
27913,2273933,1.000000,172,81160,1.000000,49.740000,44.760000,1535.000000,29,44.760000,2013-02-16 00:00:00
27913,2273933,9.000000,172,99457,1.000000,5.340000,4.800000,1535.000000,29,4.800000,2013-02-16 00:00:00
27913,2273933,8.000000,172,99487,1.000000,5.870000,5.280000,1535.000000,29,5.280000,2013-02-16 00:00:00
27913,2273933,11.000000,172,99499,1.000000,10.940000,9.840000,1535.000000,29,9.840000,2013-02-16 00:00:00
27913,2273933,10.000000,172,100168,1.000000,5.200000,4.680000,1535.000000,29,4.680000,2013-02-16 00:00:00
27913,2273933,6.000000,172,114063,1.000000,26.220000,23.590000,1535.000000,29,23.590000,2013-02-16 00:00:00
1391,2657752,1.000000,172,33421,1.000000,33.600000,33.600000,1330.000000,27,33.600000,2013-02-17 00:00:00
1391,2657752,2.000000,172,108626,1.000000,21.740000,21.740000,1330.000000,27,21.740000,2013-02-17 00:00:00
1418,2665443,3.000000,172,284,1.000000,0.000000,0.000000,1533.000000,10,0.000000,2013-02-17 00:00:00
1418,2665443,1.000000,172,36233,1.000000,71.200000,71.200000,1533.000000,10,71.200000,2013-02-17 00:00:00
1418,2665443,2.000000,172,93182,1.000000,10.670000,10.670000,1533.000000,10,10.670000,2013-02-17 00:00:00
1428,2673293,1.000000,172,66296,1.000000,50.670000,50.670000,1607.000000,29,50.670000,2013-02-17 00:00:00
1308,2691858,1.000000,172,3231,1.000000,57.870000,57.870000,1054.000000,8,57.870000,2013-02-17 00:00:00
1456,3117741,1.000000,172,108171,1.000000,22.860000,22.860000,1703.000000,28,22.860000,2013-02-17 00:00:00
1456,3117741,3.000000,172,108193,1.000000,23.260000,23.260000,1703.000000,28,23.260000,2013-02-17 00:00:00
1367,3124102,3.000000,172,74327,1.000000,8.670000,7.040000,1301.000000,9,7.040000,2013-02-17 00:00:00
1367,3124102,4.000000,172,98822,1.000000,46.670000,37.870000,1301.000000,9,37.870000,2013-02-17 00:00:00
1367,3124102,2.000000,172,108648,1.000000,7.740000,6.280000,1301.000000,9,6.280000,2013-02-17 00:00:00
1367,3124102,1.000000,172,108652,1.000000,7.740000,6.280000,1301.000000,9,6.280000,2013-02-17 00:00:00
1310,3128781,1.000000,172,100181,1.000000,37.870000,37.870000,942.000000,29,37.870000,2013-02-17 00:00:00
1399,3130612,1.000000,172,62780,1.000000,49.600000,49.600000,1348.000000,3,49.600000,2013-02-17 00:00:00
1399,3130612,2.000000,172,130301,1.000000,64.140000,64.140000,1348.000000,3,64.140000,2013-02-17 00:00:00
1467,3136169,2.000000,172,100858,1.000000,30.140000,27.120000,1539.000000,13,27.120000,2013-02-17 00:00:00
1467,3136169,3.000000,172,129186,1.000000,27.470000,24.720000,1539.000000,13,24.720000,2013-02-17 00:00:00
1467,3136169,1.000000,172,130442,1.000000,47.600000,42.840000,1539.000000,13,42.840000,2013-02-17 00:00:00
1360,3169437,1.000000,172,54009,1.000000,44.670000,40.200000,1415.000000,29,40.200000,2013-02-17 00:00:00
1462,3204213,1.000000,172,135000,1.000000,60.140000,46.800000,1710.000000,23,46.800000,2013-02-17 00:00:00
1459,3256311,1.000000,172,22205,1.000000,6.400000,5.080000,1527.000000,27,5.080000,2013-02-17 00:00:00
1459,3256311,3.000000,172,91501,1.000000,45.340000,36.030000,1527.000000,27,36.030000,2013-02-17 00:00:00
1459,3256311,2.000000,172,108004,1.000000,13.200000,10.500000,1527.000000,27,10.500000,2013-02-17 00:00:00
1532,3265918,2.000000,172,98289,1.000000,82.670000,74.400000,1917.000000,9,74.400000,2013-02-17 00:00:00
1532,3265918,1.000000,172,98761,1.000000,21.340000,19.200000,1917.000000,9,19.200000,2013-02-17 00:00:00
1498,3331414,1.000000,172,72700,1.000000,41.470000,41.470000,1643.000000,2,41.470000,2013-02-17 00:00:00
1498,3331414,2.000000,172,91331,1.000000,43.070000,43.070000,1643.000000,2,43.070000,2013-02-17 00:00:00
1507,3340464,2.000000,172,3206,1.000000,86.800000,86.800000,1706.000000,27,86.800000,2013-02-17 00:00:00
1507,3340464,1.000000,172,100509,1.000000,10.670000,10.670000,1706.000000,27,10.670000,2013-02-17 00:00:00
1518,3444489,2.000000,172,21737,1.000000,13.470000,13.470000,1725.000000,27,13.470000,2013-02-17 00:00:00
1518,3444489,1.000000,172,118933,1.000000,16.620000,16.620000,1725.000000,27,16.620000,2013-02-17 00:00:00
1357,3455655,2.000000,172,21205,1.000000,25.070000,25.070000,1346.000000,29,25.070000,2013-02-17 00:00:00
1357,3455655,1.000000,172,21281,1.000000,57.200000,57.200000,1346.000000,29,57.200000,2013-02-17 00:00:00
1361,3457810,4.000000,172,3230,1.000000,79.200000,79.200000,1359.000000,10,79.200000,2013-02-17 00:00:00
1361,3457810,1.000000,172,74303,1.000000,45.470000,45.470000,1359.000000,10,45.470000,2013-02-17 00:00:00
1361,3457810,3.000000,172,77109,1.000000,77.070000,77.070000,1359.000000,10,77.070000,2013-02-17 00:00:00
1361,3457810,2.000000,172,84853,1.000000,35.600000,35.600000,1359.000000,10,35.600000,2013-02-17 00:00:00
1337,3527405,1.000000,172,67988,1.000000,35.470000,31.920000,1212.000000,10,31.920000,2013-02-17 00:00:00
1368,3574506,1.000000,172,54012,1.000000,146.670000,117.340000,1403.000000,29,117.340000,2013-02-17 00:00:00
1472,3604336,1.000000,172,108812,1.000000,25.340000,12.000000,1546.000000,27,12.000000,2013-02-17 00:00:00
1465,3638619,2.000000,172,284,1.000000,0.000000,0.000000,1656.000000,10,0.000000,2013-02-17 00:00:00
1465,3638619,1.000000,172,129995,1.000000,58.940000,45.600000,1656.000000,10,45.600000,2013-02-17 00:00:00
1543,3656085,1.000000,172,128595,1.000000,52.270000,38.940000,1831.000000,23,38.940000,2013-02-17 00:00:00
1528,3688378,1.000000,172,36394,1.000000,46.670000,46.670000,1747.000000,23,46.670000,2013-02-17 00:00:00
1291,3733283,2.000000,172,90233,1.000000,46.540000,46.540000,1035.000000,29,46.540000,2013-02-17 00:00:00
1291,3733283,1.000000,172,90402,1.000000,98.270000,98.270000,1035.000000,29,98.270000,2013-02-17 00:00:00
1484,3954652,1.000000,172,53250,1.000000,51.200000,51.200000,1712.000000,23,51.200000,2013-02-17 00:00:00
1484,3954652,2.000000,172,130700,1.000000,78.670000,78.670000,1712.000000,23,78.670000,2013-02-17 00:00:00
1536,3956640,1.000000,172,92519,1.000000,10.400000,10.400000,1803.000000,28,10.400000,2013-02-17 00:00:00
1542,4107907,1.000000,172,117506,1.000000,33.340000,30.000000,1828.000000,23,30.000000,2013-02-17 00:00:00
1326,4162468,2.000000,172,69176,1.000000,27.870000,27.870000,1141.000000,29,27.870000,2013-02-17 00:00:00
1326,4162468,1.000000,172,129950,1.000000,77.200000,77.200000,1141.000000,29,77.200000,2013-02-17 00:00:00
1537,4177406,1.000000,172,39101,1.000000,52.000000,52.000000,1807.000000,28,52.000000,2013-02-17 00:00:00
1537,4177406,2.000000,172,129309,1.000000,22.670000,22.670000,1807.000000,28,22.670000,2013-02-17 00:00:00
1527,4189927,1.000000,172,97200,1.000000,66.670000,66.670000,1743.000000,2,66.670000,2013-02-17 00:00:00
1539,4219833,1.000000,172,129901,1.000000,63.070000,63.070000,1811.000000,23,63.070000,2013-02-17 00:00:00
1433,4230118,1.000000,172,77180,1.000000,23.070000,23.070000,1438.000000,15,23.070000,2013-02-17 00:00:00
1342,4258348,1.000000,172,48200,1.000000,53.070000,39.740000,1228.000000,10,39.740000,2013-02-17 00:00:00
1491,4289059,1.000000,172,100722,1.000000,27.740000,27.740000,1727.000000,27,27.740000,2013-02-17 00:00:00
1491,4289059,2.000000,172,108393,1.000000,27.740000,27.740000,1727.000000,27,27.740000,2013-02-17 00:00:00
1393,4407876,3.000000,172,82558,1.000000,0.820000,0.820000,1515.000000,10,0.820000,2013-02-17 00:00:00
1393,4407876,2.000000,172,103540,1.000000,3.200000,3.200000,1515.000000,10,3.200000,2013-02-17 00:00:00
1393,4407876,1.000000,172,106088,1.000000,21.340000,21.340000,1515.000000,10,21.340000,2013-02-17 00:00:00
1393,4407876,6.000000,172,110286,1.000000,0.670000,0.670000,1515.000000,10,0.670000,2013-02-17 00:00:00
1393,4407876,5.000000,172,110289,1.000000,0.670000,0.670000,1515.000000,10,0.670000,2013-02-17 00:00:00
1393,4407876,7.000000,172,110292,1.000000,0.540000,0.540000,1515.000000,10,0.540000,2013-02-17 00:00:00
1393,4407876,4.000000,172,112385,1.000000,0.670000,0.670000,1515.000000,10,0.670000,2013-02-17 00:00:00
1538,4445550,1.000000,172,72880,1.000000,65.740000,65.740000,1809.000000,2,65.740000,2013-02-17 00:00:00
1538,4445550,2.000000,172,72884,1.000000,26.800000,26.800000,1809.000000,2,26.800000,2013-02-17 00:00:00
1500,4472177,4.000000,172,71517,1.000000,36.000000,36.000000,1650.000000,2,36.000000,2013-02-17 00:00:00
