Numero_Commande,Code_Client,Numero_Ligne_Produit,Code_Magasin,Code_Produit,Quantite,Prix_Vente_TTC_HorsRemise,Prix_Vente_TTC_AvecRemise,Heure,Code_Vendeur,Total,Date_Transaction
3420,2273631,6.000000,172,12379,1.000000,7.600000,7.600000,1229.000000,27,7.600000,2014-03-12 00:00:00
3420,2273631,2.000000,172,21067,1.000000,82.270000,82.270000,1229.000000,27,82.270000,2014-03-12 00:00:00
3420,2273631,1.000000,172,21248,1.000000,46.940000,46.940000,1229.000000,27,46.940000,2014-03-12 00:00:00
3420,2273631,5.000000,172,71023,1.000000,17.200000,17.200000,1229.000000,27,17.200000,2014-03-12 00:00:00
3420,2273631,3.000000,172,90390,1.000000,44.000000,44.000000,1229.000000,27,44.000000,2014-03-12 00:00:00
3420,2273631,7.000000,172,118858,1.000000,15.340000,15.340000,1229.000000,27,15.340000,2014-03-12 00:00:00
3420,2273631,4.000000,172,122182,1.000000,10.470000,10.470000,1229.000000,27,10.470000,2014-03-12 00:00:00
3433,2273747,1.000000,172,104014,1.000000,11.870000,11.870000,1333.000000,20,11.870000,2014-03-12 00:00:00
3456,2273787,1.000000,172,133300,1.000000,37.340000,37.340000,1447.000000,27,37.340000,2014-03-12 00:00:00
3450,2273791,2.000000,172,14144,1.000000,29.340000,29.340000,1429.000000,27,29.340000,2014-03-12 00:00:00
3450,2273791,3.000000,172,102184,1.000000,9.200000,9.200000,1429.000000,27,9.200000,2014-03-12 00:00:00
3450,2273791,4.000000,172,109959,1.000000,16.670000,16.670000,1429.000000,27,16.670000,2014-03-12 00:00:00
3450,2273791,1.000000,172,122743,1.000000,4.280000,4.280000,1429.000000,27,4.280000,2014-03-12 00:00:00
3486,2274024,1.000000,172,98826,1.000000,36.000000,36.000000,1624.000000,4,36.000000,2014-03-12 00:00:00
3486,2274024,2.000000,172,121188,1.000000,14.670000,14.670000,1624.000000,4,14.670000,2014-03-12 00:00:00
3535,2274311,2.000000,172,73917,1.000000,33.740000,33.740000,1903.000000,23,33.740000,2014-03-12 00:00:00
3535,2274311,1.000000,172,108549,1.000000,24.270000,24.270000,1903.000000,23,24.270000,2014-03-12 00:00:00
3413,2274380,1.000000,172,83485,1.000000,63.600000,63.600000,1152.000000,27,63.600000,2014-03-12 00:00:00
3443,2274683,1.000000,172,93833,1.000000,5.470000,4.920000,1405.000000,3,4.920000,2014-03-12 00:00:00
3410,2274921,1.000000,172,122326,1.000000,5.340000,4.270000,1143.000000,5,4.270000,2014-03-12 00:00:00
3476,2274940,2.000000,172,125329,1.000000,8.470000,3.390000,1550.000000,20,3.390000,2014-03-12 00:00:00
3476,2274940,1.000000,172,126974,1.000000,7.600000,3.040000,1550.000000,20,3.040000,2014-03-12 00:00:00
3476,2274940,3.000000,172,131897,1.000000,5.200000,2.080000,1550.000000,20,2.080000,2014-03-12 00:00:00
3490,2274943,3.000000,172,123363,1.000000,13.180000,10.540000,1629.000000,90,10.540000,2014-03-12 00:00:00
3490,2274943,2.000000,172,124800,1.000000,16.400000,13.120000,1629.000000,90,13.120000,2014-03-12 00:00:00
3490,2274943,1.000000,172,124804,1.000000,20.940000,16.750000,1629.000000,90,16.750000,2014-03-12 00:00:00
3490,2274943,4.000000,172,125329,1.000000,9.800000,3.920000,1629.000000,90,3.920000,2014-03-12 00:00:00
3536,2274943,1.000000,172,65135,1.000000,8.860000,5.670000,1904.000000,23,5.670000,2014-03-12 00:00:00
3422,2275077,4.000000,172,3310,1.000000,8.670000,8.220000,1236.000000,2,8.220000,2014-03-12 00:00:00
3422,2275077,2.000000,172,32310,1.000000,76.670000,72.680000,1236.000000,2,72.680000,2014-03-12 00:00:00
3422,2275077,3.000000,172,32393,1.000000,52.140000,49.420000,1236.000000,2,49.420000,2014-03-12 00:00:00
3422,2275077,1.000000,172,32407,1.000000,118.670000,112.500000,1236.000000,2,112.500000,2014-03-12 00:00:00
3485,2275348,1.000000,172,108886,1.000000,24.000000,24.000000,1625.000000,3,24.000000,2014-03-12 00:00:00
3485,2275348,2.000000,172,124665,1.000000,21.310000,21.310000,1625.000000,3,21.310000,2014-03-12 00:00:00
3485,2275348,3.000000,172,129160,1.000000,32.540000,32.540000,1625.000000,3,32.540000,2014-03-12 00:00:00
3398,2275582,3.000000,172,78471,1.000000,54.940000,49.440000,1049.000000,10,49.440000,2014-03-12 00:00:00
3398,2275582,1.000000,172,98676,1.000000,30.540000,27.480000,1049.000000,10,27.480000,2014-03-12 00:00:00
3398,2275582,2.000000,172,129996,1.000000,42.140000,37.920000,1049.000000,10,37.920000,2014-03-12 00:00:00
3448,2275692,2.000000,172,126190,1.000000,13.400000,12.070000,1426.000000,27,12.070000,2014-03-12 00:00:00
3448,2275692,1.000000,172,128606,1.000000,40.670000,36.600000,1426.000000,27,36.600000,2014-03-12 00:00:00
3464,2295385,1.000000,172,131163,1.000000,34.670000,31.200000,1508.000000,8,31.200000,2014-03-12 00:00:00
3475,2295589,5.000000,172,123399,2.000000,12.940000,5.180000,1510.000000,20,10.360000,2014-03-12 00:00:00
3475,2295589,3.000000,172,125329,1.000000,9.800000,3.920000,1510.000000,20,3.920000,2014-03-12 00:00:00
3475,2295589,4.000000,172,125329,1.000000,9.800000,3.920000,1510.000000,20,3.920000,2014-03-12 00:00:00
3475,2295589,1.000000,172,131897,1.000000,6.540000,2.620000,1510.000000,20,2.620000,2014-03-12 00:00:00
3475,2295589,2.000000,172,131897,1.000000,6.540000,2.620000,1510.000000,20,2.620000,2014-03-12 00:00:00
3449,2304101,1.000000,172,102573,1.000000,80.270000,80.270000,1428.000000,27,80.270000,2014-03-12 00:00:00
3488,2304176,1.000000,172,29191,1.000000,24.140000,24.140000,1550.000000,5,24.140000,2014-03-12 00:00:00
3489,2304176,6.000000,172,323,1.000000,8.140000,8.140000,1553.000000,5,8.140000,2014-03-12 00:00:00
3489,2304176,1.000000,172,2911,1.000000,9.600000,9.600000,1553.000000,5,9.600000,2014-03-12 00:00:00
3489,2304176,2.000000,172,53251,1.000000,77.200000,77.200000,1553.000000,5,77.200000,2014-03-12 00:00:00
3489,2304176,5.000000,172,113353,1.000000,1.340000,1.340000,1553.000000,5,1.340000,2014-03-12 00:00:00
3489,2304176,3.000000,172,123617,1.000000,29.870000,29.870000,1553.000000,5,29.870000,2014-03-12 00:00:00
3489,2304176,4.000000,172,124256,1.000000,7.340000,7.340000,1553.000000,5,7.340000,2014-03-12 00:00:00
3489,2304176,7.000000,172,124809,1.000000,9.070000,9.070000,1553.000000,5,9.070000,2014-03-12 00:00:00
3542,2304294,1.000000,172,51082,1.000000,79.470000,79.470000,1958.000000,22,79.470000,2014-03-12 00:00:00
3500,2304422,1.000000,172,27104,1.000000,86.800000,86.800000,1628.000000,3,86.800000,2014-03-12 00:00:00
3500,2304422,2.000000,172,132040,1.000000,81.340000,81.340000,1628.000000,3,81.340000,2014-03-12 00:00:00
3533,2304731,3.000000,172,23983,1.000000,26.540000,26.540000,1900.000000,23,26.540000,2014-03-12 00:00:00
3533,2304731,1.000000,172,90040,1.000000,12.540000,12.540000,1900.000000,23,12.540000,2014-03-12 00:00:00
3447,2341921,1.000000,172,26431,1.000000,70.800000,64.110000,1422.000000,27,64.110000,2014-03-12 00:00:00
3447,2341921,2.000000,172,27394,1.000000,29.870000,27.040000,1422.000000,27,27.040000,2014-03-12 00:00:00
3447,2341921,3.000000,172,72590,1.000000,31.200000,28.260000,1422.000000,27,28.260000,2014-03-12 00:00:00
3447,2341921,4.000000,172,90146,1.000000,9.200000,8.340000,1422.000000,27,8.340000,2014-03-12 00:00:00
3440,2358666,3.000000,172,11207,1.000000,47.200000,47.200000,1348.000000,8,47.200000,2014-03-12 00:00:00
3440,2358666,1.000000,172,67878,1.000000,20.400000,20.400000,1348.000000,8,20.400000,2014-03-12 00:00:00
3440,2358666,2.000000,172,72799,1.000000,19.200000,19.200000,1348.000000,8,19.200000,2014-03-12 00:00:00
3522,2368047,1.000000,172,323,1.000000,8.140000,8.140000,1802.000000,22,8.140000,2014-03-12 00:00:00
3419,2377398,2.000000,172,27971,1.000000,36.670000,36.670000,1221.000000,27,36.670000,2014-03-12 00:00:00
3419,2377398,1.000000,172,37130,1.000000,23.640000,23.640000,1221.000000,27,23.640000,2014-03-12 00:00:00
